season,team,total_points,final_position
2324,Man City,91,1
2324,Arsenal,89,2
2324,Liverpool,82,3
2324,Aston Villa,68,4
2324,Tottenham,66,5
2324,Chelsea,63,6
2324,Man United,60,7
2324,Newcastle,60,7
2324,West Ham,52,9
2324,Crystal Palace,49,10
2324,Everton,48,11
2324,Bournemouth,48,11
2324,Brighton,48,11
2324,Fulham,47,14
2324,Wolves,46,15
2324,Brentford,39,16
2324,Nott'm Forest,36,17
2324,Luton,26,18
2324,Burnley,24,19
2324,Sheffield United,16,20
2425,Liverpool,84,1
2425,Arsenal,74,2
2425,Man City,71,3
2425,Chelsea,69,4
2425,Newcastle,66,5
2425,Aston Villa,66,5
2425,Nott'm Forest,65,7
2425,Brighton,61,8
2425,Brentford,56,9
2425,Bournemouth,56,9
2425,Fulham,54,11
2425,Crystal Palace,53,12
2425,Everton,48,13
2425,West Ham,43,14
2425,Man United,42,15
2425,Wolves,42,15
2425,Tottenham,38,17
2425,Leicester,25,18
2425,Ipswich,22,19
2425,Southampton,12,20
2526,Arsenal,85,1
2526,Man City,78,2
2526,Man United,71,3
2526,Aston Villa,65,4
2526,Liverpool,60,5
2526,Bournemouth,57,6
2526,Sunderland,54,7
2526,Brentford,53,8
2526,Brighton,53,8
2526,Chelsea,52,10
2526,Fulham,52,10
2526,Newcastle,49,12
2526,Everton,49,12
2526,Leeds,47,14
2526,Crystal Palace,45,15
2526,Nott'm Forest,44,16
2526,Tottenham,41,17
2526,West Ham,39,18
2526,Burnley,22,19
2526,Wolves,20,20
